x_bin,y_bin,z_mean,count,x_center,y_center
"(0.944, 1.0]","(0.0833, 0.167]",,0,0.972,0.12515
"(0.944, 1.0]","(0.167, 0.25]",,7,0.972,0.20850000000000002
"(0.944, 1.0]","(0.25, 0.333]",,5,0.972,0.2915
"(0.944, 1.0]","(0.333, 0.417]",,3,0.972,0.375
"(0.944, 1.0]","(0.417, 0.5]",,2,0.972,0.4585
"(0.944, 1.0]","(0.5, 0.583]",,6,0.972,0.5415
"(0.944, 1.0]","(0.583, 0.667]",,6,0.972,0.625
"(0.944, 1.0]","(0.667, 0.75]",0.019838419090909068,11,0.972,0.7085
"(0.944, 1.0]","(0.75, 0.833]",,0,0.972,0.7915
"(0.944, 1.0]","(0.833, 0.917]",,0,0.972,0.875
"(0.944, 1.0]","(0.917, 1.0]",,0,0.972,0.9585
